150

Acetone(1)/CHCl3(2)/methnaol(3)

T (K)       P(bar)   y1        x1       y2       x2
323.15     .70417    .3500    .1995    .0033    .0022
323.15     .86764    .0118    .0258    .5965    .4973
323.15     .86037    .0138    .0276    .5792    .4634
323.15     .85372    .0156    .0290    .5642    .4365
323.15     .84513    .0178    .0305    .5463    .4070
323.15     .82969    .0218    .0328    .5162    .3627
323.15     .81037    .0270    .0351    .4804    .3168
323.15     .79089    .0325    .0372    .4446    .2769
323.15     .75748    .0428    .0402    .3834    .2188
323.15     .72577    .0541    .0427    .3218    .1700
323.15     .69648    .0666    .0449    .2583    .1271
323.15     .67152    .0787    .0466    .1999    .0927
323.15     .65516    .0883    .0478    .1558    .0693
323.15     .64067    .0976    .0489    .1155    .0496
323.15     .62955    .1051    .0496    .0826    .0345
323.15     .61990    .1125    .0503    .0518    .0211
323.15     .61350    .1177    .0508    .0307    .0123
323.15     .60960    .1212    .0511    .0164    .0065
323.15     .88205    .0007    .0028    .7040    .7961
323.15     .87807    .0029    .0108    .7014    .7897
323.15     .86881    .0074    .0254    .6962    .7780
323.15     .85568    .0155    .0475    .6875    .7604
323.15     .83790    .0281    .0752    .6749    .7383
323.15     .81664    .0475    .1094    .6567    .7110
323.15     .79528    .0732    .1460    .6339    .6817
323.15     .77119    .1111    .1904    .6021    .6463
323.15     .74589    .1662    .2442    .5581    .6034
323.15     .72645    .2262    .2952    .5120    .5627
323.15     .71355    .2845    .3406    .4686    .5264
323.15     .70576    .3396    .3814    .4288    .4939
323.15     .70126    .3884    .4168    .3939    .4656
323.15     .70062    .4306    .4472    .3643    .4413
323.15     .69889    .4707    .4762    .3364    .4181
323.15     .69964    .5043    .5007    .3135    .3986
323.15     .70030    .5197    .5120    .3030    .3896
323.15     .87343    .0064    .0148    .6052    .5017
323.15     .84453    .0325    .0618    .5647    .4778
323.15     .80893    .0794    .1239    .5078    .4462
323.15     .79157    .1490    .1965    .4393    .4092
323.15     .76291    .2257    .2658    .3752    .3739
323.15     .75456    .2838    .3151    .3319    .3488
323.15     .75086    .3514    .3713    .2857    .3202
323.15     .75044    .3962    .4084    .2573    .3013
323.15     .75115    .4301    .4367    .2367    .2868
323.15     .75286    .4726    .4714    .2081    .2692
323.15     .75570    .5140    .5081    .1896    .2505
323.15     .74916    .0074    .0066    .3890    .1983
323.15     .74686    .0156    .0137    .3809    .1969
323.15     .74330    .0293    .0254    .3678    .1946
323.15     .73970    .0475    .0405    .3512    .1916
323.15     .73654    .0691    .0581    .3326    .1881
323.15     .73342    .1006    .0832    .3073    .1830
323.15     .73231    .1542    .1256    .2684    .1746
323.15     .73585    .2268    .1840    .2218    .1629
323.15     .74306    .2952    .2418    .1834    .1514
323.15     .75116    .3511    .2919    .1553    .1414
323.15     .75906    .3984    .3368    .1337    .1324
323.15     .76692    .4413    .3797    .1158    .1238
323.15     .77430    .4792    .4195    .1012    .1159
323.15     .77706    .5089    .4518    .0906    .1095
323.15     .78528    .5359    .4819    .0816    .1035
323.15     .78975    .5592    .5085    .0742    .0981
323.15     .62140    .0326    .0154    .1320    .0500
323.15     .64956    .1275    .0652    .1047    .0475
323.15     .67374    .2031    .1115    .0854    .0452
323.15     .70292    .2888    .1735    .0659    .0420
323.15     .72697    .3566    .2316    .0524    .0391
323.15     .74687    .4120    .2862    .0426    .0363
323.15     .76263    .4553    .3339    .0357    .0339
323.15     .77522    .4914    .3770    .0305    .0317
323.15     .78535    .5215    .4152    .0265    .0297
323.15     .79319    .5454    .4469    .0237    .0281
323.15     .80177    .5737    .4858    .0205    .0261
323.15     .80915    .5991    .5216    .0180    .0243
323.15     .81591    .6233    .5563    .0159    .0226
